"Subject","Length","Enjoy","Product","Environment"
1,58.14,10,54.36,"Home"
2,45.13,6,30,"Office"
3,58.69,10,58.16,"Office"
4,58.22,7,30,"Hybrid"
5,51.2,5,30,"Hybrid"
6,35.19,10,40.46,"Office"
7,40.2,7,34.46,"Office"
8,45.39,3,30,"Home"
9,47.75,6,30,"Home"
10,60,10,61.27,"Home"
11,54.05,10,46.13,"Home"
12,41.26,1,30,"Hybrid"
13,38.4,8,30,"Office"
14,45.43,10,38.98,"Home"
15,45.35,1,30,"Home"
16,44.43,10,36.16,"Hybrid"
17,49.87,5,30,"Office"
18,40.5,8,47.49,"Home"
19,51.37,6,30,"Home"
20,37.66,10,41.77,"Hybrid"
21,45.96,1,30,"Home"
22,50.89,7,30,"Hybrid"
23,48.89,3,30,"Office"
24,54.39,9,38.04,"Office"
25,47.33,10,45.22,"Home"
26,51.92,1,30,"Hybrid"
27,56.69,7,50.76,"Home"
28,42.14,7,30,"Office"
29,37.28,10,30,"Office"
30,48.18,3,30,"Home"
31,45.87,9,59.29,"Hybrid"
32,43.35,10,55.58,"Office"
33,44.25,6,30.81,"Hybrid"
34,42.48,4,30,"Home"
35,53.75,7,33.93,"Home"
36,57.23,9,37.99,"Home"
37,55.93,3,30,"Office"
38,44.28,10,30,"Office"
39,57.94,7,30,"Office"
40,45.51,1,30,"Home"
41,60,3,30,"Hybrid"
42,52.39,10,52.36,"Home"
43,44.09,3,30,"Home"
44,40.99,7,30,"Hybrid"
45,38.25,7,30,"Home"
46,39.07,1,30,"Hybrid"
47,34.99,9,36.82,"Office"
48,57.27,9,30,"Office"
49,54.61,10,44.86,"Hybrid"
50,45.94,10,46.85,"Hybrid"
51,49.98,8,44.63,"Hybrid"
52,44.71,7,42.88,"Home"
53,60,10,31.79,"Hybrid"
54,41.29,4,30,"Home"
55,47.35,8,30,"Office"
56,49.85,9,36.03,"Office"
57,52.86,9,54.44,"Office"
58,46.39,3,30,"Home"
59,29.59,10,37.73,"Home"
60,37.45,10,34.75,"Hybrid"
61,50.74,10,38.96,"Hybrid"
62,47.71,1,30,"Hybrid"
63,40.1,5,30,"Office"
64,46.85,1,30,"Hybrid"
65,41.13,6,30,"Office"
66,49.78,9,47.12,"Office"
67,36.13,10,30,"Hybrid"
